name,location,highest,average
JNTUH,Hyderabad,59.0,17.49529411764706
ICFAI University Gangtok,Hyderabad,55.0,12.189688715953308
Sai Institute of Engineering and Technology Aurangabad,India,45.0,12.514588235294118
